input_row,input_postocde
765,WC2B 5SU
766,NW1 6LH
767,SW1V 3AG
768,W1K 2XH
769,W1D 7LF
771,W9 1DF
774,W1H 1DL
781,W1U 4DF
782,SW1P 1EP
784,NW1 5NS
785,NW6 5SN
788,NW1 6XR
791,SW1W 8JF
793,SW3 6NB
795,SW1P 2NN
797,NW8 0NP
800,W1H 5YZ
801,SW1P 4AU
809,W9 3LG
811,IG11 9AG
812,IG11 9AG
815,RM10 9ED
820,RM7 0RL
824,RM8 3AR
826,RM6 5NJ
827,RM10 7HX
833,RM10 8UR
835,IG11 7AR
837,RM9 6UU
840,IG11 9AG
841,RM10 7UR
843,RM8 1JU
844,RM8 1JT
864,NW7 3HS
871,N11 3HG
874,N14 5NG
877,N12 8JP
878,N12 7HE
887,NW2 2TH
894,EN4 8SR
895,N11 1NQ
897,N20 8NX
902,NW2 1RG
904,NW7 1EJ
905,N3 2TD
910,NW11 9SP
912,N11 3LS
915,N12 7NJ
916,N12 8TA
930,N3 1SA
933,NW4 2AT
935,NW4 4DQ
936,NW7 3HS
952,DA16 1PN
957,DA7 4PH
958,DA18 4BA
966,NW10 3PH
967,NW6 5RA
969,BD2 4PR
977,HA3 0UX
983,HA9 7RY
985,NW9 9JL
986,NW9 9JL
988,NW10 0EX
990,NW10 3TL
991,NW10 8NG
994,HA9 9YP
999,NW2 7LL
1001,NW10 4DR
1002,NW10 5TP
1003,NW10 9JA
1009,NW10 8PP
1010,HA9 6TA
1013,HA3 9UD
1016,NW6 5RG
1018,HA5 5DT
1023,NW6 6PE
1024,NW6 6PE
1025,NW6 6PF
1026,NW10 8HE
1027,NW10 0NQ
1038,BR2 0BS
1047,BR7 5PS
1075,SW16 5QR
1083,CR8 2XP
1088,CR9 2EE
1090,CR8 2XP
1091,CR9 5AS
1099,CR9 7AT
1113,UB2 5PF
1115,W3 8RN
1118,W5 1RP
1125,UB6 9JU
1126,UB5 6NW
1130,UB6 8JD
1131,UB1 1SF
1135,UB1 2HX
1143,UB5 4QG
1144,UB2 4PA
1145,UB6 0PB
1146,UB5 5FE
1151,UB6 9EG
1162,UB2 4BH
1166,W3 9JR
1167,UB6 9JU
1170,W3 8EY
1171,UB6 9AW
1176,UB1 2GU
1178,UB5 4HP
1179,W5 2DR
1180,W5 2DS
1182,W5 2ES
1186,W13 8AX
1197,UB5 5LD
1202,EN1 4JY
1203,EN1 4JY
1209,N11 1BH
1218,EN1 2NS
1236,EN2 9EY
1238,N14 6JA
1242,EN2 0NB
1245,N9 7HJ
1252,EN2 6QG
1255,N13 5TY
1258,N14 7HY
1259,EN1 4NP
1261,N21 3LJ
1264,N14 4AT
1267,N9 9TU
1276,N11 2QG
1277,N11 2QG
1278,N8 7AF
1279,N8 7AF
1283,N17 8NN
1299,N8 9WP
1300,N17 6HW
1306,N17 8AZ
1312,N17 8AZ
1313,N11 2AF
1315,N15 3HD
1316,N8 9JF
1318,N10 1NE
1319,N15 6EB
1320,N6 5HF
1321,N6 4AY
1325,N4 2SH
1329,N17 0PG
1330,N17 6HW
1331,N22 5QJ
1332,HA3 6DH
1333,HA2 9JU
1334,HA2 0JA
1338,HA3 7JT
1340,HA5 5TJ
1341,HA3 8SZ
1346,HA5 5TL
1348,HA3 8LU
1352,HA3 7DH
1354,HA2 8LT
1356,HA1 4EL
1363,HA2 0AD
1364,HA3 7AY
1366,HA2 0HN
1368,HA1 1RX
1369,HA1 1SH
1373,HA8 7RJ
1375,RM14 3NB
1376,RM3 0TH
1377,RM11 2SP
1378,RM11 2SP
1379,RM12 5UA
1386,RM5 3QR
1389,RM1 4QX
1390,RM1 4QX
1394,RM11 1HP
1402,RM3 9JD
1406,RM1 4BT
1407,RM12 4TL
1413,RM1 4JA
1415,RM12 6RT
1419,RM11 1XY
1422,RM14 2YQ
1423,UB3 2PD
1425,UB10 8JA
1429,HA4 9PQ
1430,HA4 9PQ
1453,HA4 7RF
1459,HA4 9HS
1464,HA4 6EZ
1465,UB10 9PD
1466,UB10 9PD
1467,UB4 8SF
1468,UB4 8SF
1469,HA6 1RX
1470,HA6 1RX
1471,UB8 2BX
1473,UB10 0EX
1476,HA6 3AS
1480,HA6 3QY
1497,TW7 5XA
1507,TW3 4LB
1511,TW13 4TQ
1512,TW7 5BF
1516,TW8 0PN
1518,TW13 4FF
1519,TW7 7EE
1522,TW4 5JD
1527,W4 1LY
1532,KT5 8RS
1534,KT3 4LT
1535,KT3 4LT
1549,KT9 2RN
1562,KT9 2JS
1569,KT2 7SH
1572,KT2 6PY
1582,SW19 2JY
1584,SM4 5PX
1585,SW19 1NU
1594,CR4 4XU
1596,SM4 4EE
1606,KT3 4ND
1611,SW19 7HB
1614,SW19 4NS
1616,SW19 4TT
1618,SW20 8HR
1622,SW19 4AB
1635,E13 9NB
1639,E15 2JQ
1647,E16 1FZ
1664,E13 9JH
1666,E16 3ET
1667,E6 5UP
1679,E6 1DG
1685,RM6 4XT
1686,IG7 4BX
1688,IG3 8UG
1689,IG3 8UY
1693,IG3 9RW
1697,IG1 2JD
1698,IG2 7SS
1700,IG8 8NP
1704,IG1 2PY
1705,RM6 4XS
1712,IG2 6RG
1714,IG8 0TX
1717,IG1 1SA
1718,IG5 0QW
1719,IG6 2JB
1720,E11 2JZ
1722,IG8 7DQ
1723,IG2 7BT
1726,IG8 0TP
1730,IG8 0BZ
1747,TW12 2LA
1749,TW11 9RP
1760,SW13 0QQ
1762,TW12 3LT
1780,TW10 6HW
1781,TW10 6ES
1783,TW2 5NQ
1788,TW9 3HS
1791,TW12 2LA
1796,TW12 3HD
1801,SM1 2SF
1804,KT4 8SS
1807,SM6 8JT
1809,SM1 4AW
1810,SM1 2SF
1811,KT4 8PG
1823,SM6 9HY
1824,SM6 9HY
1825,SM5 3JL
1826,SM5 3JL
1827,CR8 3YP
1828,SM5 3PS
1832,SM1 2AX
1838,E4 6ES
1857,E11 3NT
1865,E17 4EY
1866,E10 5DN
1867,E4 6ES
1870,E17 9RZ
1871,E17 8DN
1872,E17 3EA
1874,N17 9AD
1878,B19 3XJ
1881,B15 2AF
1883,B23 7HG
1886,B38 8SY
1891,B14 4BH
1905,B8 1DZ
1907,B42 2PY
1908,B42 2PY
1942,B29 5QB
1953,B33 8SJ
1955,B11 1QT
1983,B12 9SR
2000,B33 0PJ
2006,B21 9HB
2019,B23 6QL
2021,B33 8BL
2022,B11 3JW
2030,B12 0ER
2031,B19 3XD
2033,B19 1PH
2035,B18 7QW
2036,B18 7PA
2041,B30 1JY
2042,B30 1JY
2069,B13 8QB
2075,B19 2EP
2076,B13 0TW
2077,B13 9UU
2086,B30 1DY
2087,B45 9NY
2088,B15 1RX
2089,B15 2UR
2090,B15 3TS
2095,B23 6QL
2098,B15 2UA
2099,B15 2UB
2101,B15 3AU
2110,B13 8QB
2113,B36 8AF
2115,B42 2PY
2119,B19 2EP
2121,B93 0AJ
2122,B13 8QB
2134,CV1 2SF
2147,CV4 7PS
2149,CV3 2QX
2150,CV6 5DP
2163,CV4 9DA
2182,CV6 6BB
2186,CV3 6AQ
2193,DY2 9QF
2194,DY1 2NX
2196,DY2 9ER
2197,DY5 2TD
2203,WV14 8YP
2208,DY6 8RP
2213,B63 2ES
2214,B63 4HY
2219,DY5 2BH
2221,DY1 2NX
2224,DY8 5DJ
2228,DY8 3HL
2232,DY8 5BZ
2251,DY3 1SN
2258,DY6 8QN
2262,WV14 8XJ
2266,B43 5AS
2281,B67 5LT
2288,B67 7DW
2308,B71 2JQ
2309,B69 4QB
2314,B68 8SQ
2316,DY4 7PG
2323,B69 4DE
2326,B67 7JG
2358,B91 2AZ
2363,B91 3DW
2371,B91 3NZ
2376,B37 7TR
2378,B91 3NZ
2380,B91 1AT
2382,B91 3DJ
2383,B91 2AB
2387,B36 0UE
2388,B36 0UE
2399,WS3 3JF
2408,WS1 3JY
2419,WV12 4DS
2425,WS8 7BP
2430,WS4 1JJ
2436,B43 7UJ
2446,WS1 2LP
2457,WS8 7QG
2464,WS2 7NR
2469,WV1 2HH
2473,WV4 6SR
2474,WV10 8BY
2478,WV2 4NE
2480,WV10 6US
2483,WV3 8HS
2491,WV13 3TT
2492,WV14 8UR
2498,WV1 2QY
2507,WV2 3AE
2515,WV4 5DG
2518,WV3 9RB
2519,WV4 4NT
2523,L28 1RX
2529,L32 0RQ
2530,L32 0TG
2534,L33 1XT
2536,L33 1EB
2537,L32 1TZ
2547,L33 6XL
2550,L26 0XR
2553,L28 7RE
2557,L33 1DZ
2567,L11 2RY
2571,L25 2QF
2575,L19 1RD
2586,L6 2HZ
2589,L8 8JE
2598,L8 4RP
2604,L16 0JD
2606,L11 0BQ
2607,L3 2DU
2609,L19 8JY
2613,L7 8TQ
2617,L17 7JA
2623,L6 9DU
2624,L3 5XF
2628,L1 5BY
2634,L27 7AG
2637,L15 6WU
2638,L12 7LE
2641,L13 5UQ
2642,L18 3HS
2644,L15 6UZ
2646,L5 5AF
2647,L25 7TN
2648,L12 9HJ
2649,L12 9HZ
2650,L11 9DQ
2651,L9 7BF
2652,L17 3AL
2653,L18 8DD
2658,L12 9HN
2659,L15 6TQ
2663,L13 0BQ
2669,WA9 1PL
2670,WA10 6LF
2680,WA12 9UF
2681,WA12 9HD
2688,WA10 5NX
2690,WA12 8QL
2699,WA11 9QY
2701,WA9 3SP
2709,L35 6NN
2710,WA12 9QQ
2713,WA10 5HG
2720,WA10 4QH
2721,WA9 3HE
2724,WA12 9XZ
2728,L20 6PJ
2732,L30 3RU
2740,PR9 9XA
2743,L31 5LE
2748,L21 7NW
2752,L31 3DT
2754,L31 8BW
2763,L20 3JL
2767,L21 8NZ
2768,L30 5RH
2774,L30 2NR
2789,L21 7LX
2797,L10 6NJ
2798,L31 8BW
2800,PR8 6JS
2801,L30 2NA
2803,L23 5TF
2804,L23 4UL
2807,L23 5TW
2808,L23 0QP
2809,L23 5SP
2815,L21 0DB
2818,CH49 8HB
2827,CH44 9EF
2834,CH46 7UQ
2836,CH62 5BA
2853,CH49 8HB
2855,CH42 0PH
2871,CH43 9QR
2872,CH43 7TE
2891,CH43 9EB
2893,CH45 8PJ
2894,CH63 2PS
2906,CH49 5LA
2908,SE2 9PX
2911,CH41 0EZ
2913,BL3 4AH
2917,BL1 3DX
2918,BL2 2JT
2919,BL1 5RU
2921,BL1 4ND
2926,BL1 3EJ
2927,BL3 5HU
2933,BL2 2RH
2934,BL3 3TP
2936,BL6 4PS
2938,BL1 7HS
2939,BL6 6EW
2940,BL6 7AL
2942,BL4 9BZ
2943,BL4 0NS
2945,BL3 1JG
2946,BL6 5SY
2947,BL7 9RE
2953,BL3 4QP
2957,BL3 2PL
2963,BL3 5RL
2964,BL1 3EJ
2965,BL3 6HP
2968,BL2 2AN
2972,BL6 6AA
2975,BL5 3NZ
2978,BL4 8PB
2980,BL3 1BQ
2987,BL7 9HT
2988,BL6 6EP
2989,BL5 3BZ
2991,BL6 6HW
2993,BL1 6PQ
2995,BL1 5DH
2996,BL1 4PA
2997,BL1 4PB
2999,BL1 4PJ
3003,BL4 0NS
3004,BL9 6HR
3005,BL9 7SD
3006,BL8 2JH
3014,M45 8TD
3017,M26 3SW
3023,M26 1LH
3029,M25 2BW
3037,BL9 6LJ
3038,BL8 2RH
3039,BL9 0RZ
3044,M25 1BP
3046,BL8 4HS
3051,M26 4GE
3056,BL9 9NH
3058,M25 2BW
3059,M45 7PH
3065,BL9 0TZ
3069,BL9 0HN
3070,BL9 0HH
3072,M26 3BW
3074,M15 6PA
3083,M14 7NA
3084,M9 6TG
3086,M14 7PN
3090,M9 4HH
3096,M40 0BX
3097,M8 5XH
3099,M8 8EJ
3104,M9 8QP
3108,M13 9UJ
3113,M40 8PL
3115,M16 8FQ
3116,M16 7AQ
3121,M12 5NP
3125,M19 2UH
3126,M14 6HW
3127,M15 6BT
3130,M23 0BW
3133,M11 3DR
3138,M12 5LZ
3140,M40 7RG
3142,M19 2QW
3145,M23 2YS
3151,M40 0DF
3152,M21 9SN
3154,M40 7RH
3155,M13 0BT
3160,M18 8RL
3164,M20 6BX
3169,M13 0XT
3170,M14 6HS
3173,M4 4DN
3177,CW12 3PQ
3179,M20 2XA
3180,M20 2XZ
3183,M12 4GR
3188,OL8 3JQ
3195,OL9 8EB
3209,OL4 1GL
3213,OL3 5BP
3217,OL1 4RL
3225,OL9 9ED
3231,OL2 5DH
3238,OL8 3NG
3239,OL4 1HP
3243,OL3 6BU
3244,OL9 0LS
3245,OL8 4BX
3262,OL11 5UY
3263,OL11 1TA
3264,OL15 9HW
3275,OL16 2SU
3278,OL11 2HB
3282,OL15 9PR
3289,M24 1FL
3298,OL11 1EZ
3303,OL10 2AA
3304,OL10 2NT
3308,M24 2GL
3309,OL16 4RX
3310,OL16 3HB
3321,M3 7EU
3324,M30 9BJ
3343,M5 5JH
3346,M30 0FL
3371,M6 6ET
3372,M3 6LU
3381,M28 2WQ
3386,M30 9BJ
3391,SK3 0BJ
3433,SK4 1PB
3436,SK3 8JG
3450,SK1 3PJ
3451,SK5 6BL
3455,SK3 9HX
3459,SK1 1EF
3467,SK4 3HP
3468,SK2 6BW
3469,SK6 3BX
3470,SK6 6LB
3471,SK7 2JT
3473,SK6 3BU
3476,SK8 6HU
3479,SK8 6LA
3482,SK8 6EF
3486,M16 0EX
3489,SK2 5DS
3492,SK14 8LP
3494,SK14 6PW
3498,SK15 3NU
3507,M43 6AF
3509,M34 5SF
3533,OL7 9DD
3546,OL5 9DP
3548,OL6 8BH
3550,SK15 1SH
3553,OL6 8RF
3566,M33 7XS
3576,M41 0RX
3583,M16 9QE
3584,M32 0XZ
3588,M41 0SP
3591,WA14 3EX
3602,M16 0SH
3608,M33 4GY
3609,M16 7PT
3611,M32 0XA
3614,WA14 2LT
3620,M41 5PR
3621,WA14 4GZ
3622,M33 4GY
3626,WN1 3SU
3633,WN5 7BD
3637,WN7 1UY
3639,WA3 2AW
3641,WN4 9QL
3651,WN3 5XE
3654,M46 9FP
3660,WN3 6SB
3665,WN1 3LP
3671,WN2 2AL
3685,WN2 3DG
3686,WN2 5JF
3700,WN7 4HB
3706,WN4 9TP
3707,WN7 5NL
3708,WA3 3EL
3710,WN6 8AB
3711,WN1 1HQ
3713,WN5 8NU
3714,M29 7EE
3715,WN4 9PF
3722,S63 9HY
3723,S75 3NU
3730,S74 0JW
3752,S63 9EW
3753,S70 1AP
3754,DN5 7SB
3780,DN2 5LS
3781,DN1 2JS
3813,S61 1AP
3815,S61 1HE
3852,S2 5QD
3870,S13 7BP
3872,S7 2EW
3881,S3 7JA
3908,S2 3DJ
3910,S2 1EE
3917,S20 8FB
3925,S10 2PW
3935,S10 2PE
3936,S3 7PS
3947,BD8 8HT
3948,BD8 7DJ
3950,BD14 6AD
3952,BD9 4HP
3956,BD5 7DQ
3964,BD6 1RL
3966,BD13 2RH
3968,BD7 2AH
3980,BD13 5DA
3992,LS29 8JY
4000,BD8 8RG
4010,BD4 6JF
4015,BD5 7HU
4017,BD2 3JD
4021,BD8 9RG
4024,BD9 5AT
4027,BD16 2PP
4033,BD3 0DU
4037,BD13 2AW
4045,BD9 4JP
4046,BD16 4AP
4059,HX2 0QD
4062,HD6 3AS
4064,HX4 9HU
4066,HX7 6HB
4081,HX7 8EE
4084,HX2 0QQ
4090,HX3 6LA
4102,OL14 5HP
4103,HX7 5QN
4104,OL14 7DG
4107,HX4 8LS
4110,HX3 8JE
4112,HX3 0RZ
4121,WF13 1NS
4135,HD2 2HB
4138,WF17 6EG
4141,WF17 6BS
4222,HD5 9HU
4229,HD5 8PQ
4231,HD9 6QJ
4232,HD9 7SE
4235,BD19 3AQ
4241,HD1 3JP
4245,HD5 8JE
4249,LS20 9DA
4252,LS18 4QP
4256,LS28 5BH
4260,WF3 3DG
4293,LS4 2TF
4294,LS2 9EX
4297,LS4 2QZ
4298,LS7 1SR
4308,LS7 3PD
4310,LS8 1AF
4313,LS17 5HX
4316,LS17 6QP
4325,LS14 6JR
4327,LS14 2BL
4330,LS9 7HP
4337,LS14 2EG
4339,LS10 3HQ
4344,LS10 4HU
4346,LS10 2PS
4354,LS13 2TQ
4356,LS13 1DQ
4360,LS12 4PX
4369,LS15 4HL
4382,LS12 1SF
4384,LS20 9BT
4386,LS23 7AQ
4394,LS9 0HA
4396,LS12 2LH
4401,LS4 2TF
4404,LS17 6SX
4407,LS15 8RQ
4416,LS11 8ND
4419,LS16 5AG
4420,LS17 7AG
4423,LS15 0PT
4425,LS8 1ND
4426,LS28 7ND
4430,LS23 6RW
4431,LS6 4QE
4432,LS9 0TT
4433,LS9 8LA
4435,LS16 5PF
4441,LS17 8GS
4445,LS23 6DF
4453,WF5 9AN
4479,WF5 9DG
4480,WF1 4PE
4485,WF1 2QS
4486,WF1 3QX
4488,WF1 3QY
4489,WF5 9BS
4492,NE8 4UN
4498,DH3 2PP
4499,DH3 2LY
4502,NE40 4ND
4509,NE39 2JE
4510,NE40 3AF
4511,NE40 3AF
4516,NE10 8DN
4517,NE10 0PY
4518,NE10 8BA
4520,NE40 3ES
4528,NE10 8SA
4529,NE16 5AY
4531,NE8 4LH
4532,NE16 5QW
4537,NE9 7HX
4538,DH3 2PN
4541,NE39 2JE
4543,NE8 2QU
4549,NE10 0PT
4551,NE8 1HG
4553,NE8 1RB
4556,NE4 6JR
4567,NE3 2NP
4569,NE15 8PD
4574,NE5 4LG
4576,NE5 1NE
4577,NE6 2AT
4580,NE4 8PA
4589,NE4 5AW
4590,NE2 1XA
4596,NE15 8JL
4600,NE4 9XZ
4603,NE2 1PS
4605,NE6 2JX
4607,NE6 5HN
4610,NE3 1UN
4612,NE15 9TP
4613,NE6 4AW
4614,NE7 7DP
4615,NE2 3BA
4619,NE4 9YJ
4620,NE2 4DX
4622,NE30 4AG
4623,NE27 0HJ
4628,NE29 8PE
4629,NE29 9QL
4631,NE27 0AH
4637,NE12 6SQ
4641,NE26 1TQ
4645,NE28 9DH
4648,NE28 8TS
4651,NE12 8FD
4654,NE28 0DS
4660,NE12 8FA
4665,NE12 8FA
4671,NE30 3RZ
4672,NE29 7BU
4676,NE25 9AS
4678,NE28 7LQ
4679,NE28 7TN
4680,NE25 9EQ
4682,NE12 8ER
4686,NE30 2QR
4687,NE12 8FD
4688,NE12 8YY
4689,NE32 5UP
4693,NE33 2BB
4694,NE33 4JJ
4701,NE35 9JB
4702,SR6 7HJ
4703,NE36 0SW
4707,NE32 3QL
4715,NE33 4PG
4720,NE31 1RZ
4725,NE32 3AJ
4727,NE35 9DZ
4728,NE31 2QU
4729,NE34 7TD
4730,NE32 5UP
4735,NE37 3BL
4736,DH5 0AH
4741,SR4 8NW
4742,SR2 8PX
4744,SR5 1EA
4746,SR5 2JX
4748,SR6 0EA
4750,SR3 2LE
4752,SR2 0RT
4754,DH5 9RA
4756,NE37 3BL
4758,DH5 9ND
4759,NE38 0PL
4760,NE38 9EZ
4762,NE37 3BG
4763,DH4 4QP
4768,NE38 8JA
4769,SR2 0LW
4783,NE38 0HL
4784,DH5 9JZ
4791,BS2 0SU
4799,BS1 6RR
4801,BS13 0JW
4802,BS2 0SZ
4809,BS16 3SY
4810,BS16 3QG
4814,BS4 3QJ
4822,BS4 4UY
4827,BA2 1QR
4850,BS15 9RD
4858,BA3 3XX
4875,BS37 8YR
4884,BS5 6LE
4889,BS30 7JB
4890,BS5 0YR
4895,BS8 2UH
4907,BS16 7EY
4918,BS36 2LF
4931,BA2 0FY
4936,BA2 0JR
4940,BA3 3NG
4949,BS34 8SG
4957,BS22 9RH
4971,BA1 4EH
4977,BS35 1AW
4979,BS37 4EP
4980,BS3 2JL
4981,DL5 4EX
4982,BS40 8QB
4985,BS37 6EW
4986,BS1 6RT
4987,BA1 6ND
4989,BS14 9LS
4991,BS8 3JD
5005,BS36 1RL
5008,BS48 1PF
5012,BS8 1SR
5013,BS8 1JX
5014,BS9 3AW
5015,BS6 7EF
5016,BA2 6HU
5023,BS10 7AH
5028,BS24 7DX
5054,MK45 1LU
5064,LU7 3DX
5065,LU7 1EW
5080,SG5 4PF
5096,MK41 9AT
5111,LU3 1NS
5113,LU4 0ES
5116,LU2 0NJ
5143,LU7 2AB
5144,LU3 4BL
5149,MK45 4GP
5176,MK40 4HW
5177,SG19 1BL
5180,LU7 1EX
5186,LU3 3TL
5188,MK41 7QZ
5189,MK40 2DL
5192,MK40 2PA
5195,MK42 0BX
5196,MK41 7NT
5198,MK42 7EB
5200,LU3 3SP
5211,RG14 1EH
5215,SL1 3HS
5220,RG6 1JR
5223,RG1 8DZ
5227,RG1 5QH
5230,RG31 5BD
5232,RG4 8LN
5235,RG30 4UN
5236,RG4 8DB
5238,RG12 7JZ
5239,RG12 2SW
5240,RG12 2SW
5267,SL6 3JB
5274,RG6 7HR
5275,RG31 6YG
5292,RG40 4JJ
5299,RG5 4RW
5300,RG5 4RW
5301,RG45 6LP
5316,RG6 5UZ
5327,SL3 6LU
5331,RG8 8PD
5343,RG20 0JU
5346,RG17 7LJ
5359,RG42 3SS
5369,SL1 2AR
5371,SL4 3EH
5374,RG30 4BE
5381,RG14 7LU
5384,RG4 6XF
5393,RG12 9AP
5399,RG7 3XJ
5400,RG45 7HZ
5401,RG40 1SS
5402,RG41 1JP
5406,RG42 2AD
5408,SL2 5QP
5415,RG20 6AD
5416,RG30 3EP
5418,RG2 7ED
5420,RG4 7SD
5433,RG20 9BD
5434,SL4 3DF
5448,RG40 3AL
5452,SL6 6AW
5460,RG10 0FR
5461,RG1 5DZ
5467,RG4 8JZ
5472,SL6 3EQ
5474,RG31 6SW
5506,HP5 1YF
5514,MK12 5JG
5526,HP19 9NS
5527,SL7 2EW
5534,HP20 2DB
5550,SL7 3PQ
5555,MK3 7NA
5558,MK13 7BQ
5560,HP22 4JG
5568,MK12 6AT
5571,HP6 6EG
5572,MK6 4HA
5573,MK6 5AX
5578,MK6 4ND
5580,MK13 7BE
5581,MK14 5BL
5583,MK13 9AZ
5584,MK14 7NA
5586,MK14 7DU
5589,MK13 9EZ
5590,MK14 5PY
5591,MK13 7QL
5592,MK8 8NA
5593,MK13 8PG
5594,MK15 9HN
5596,MK8 9AB
5597,HP14 4UL
5598,MK5 7DF
5599,MK16 0NH
5601,MK16 0DT
5616,HP19 7WF
5657,HP11 2JU
5664,SL7 3AG
5672,HP20 2XZ
5675,MK12 6AY
5676,MK18 1AT
5677,HP21 7NH
5678,HP16 0BN
5681,MK6 5EN
5688,MK12 5BT
5690,MK18 5AE
5695,SL9 8RJ
5697,SL9 8JQ
5705,HP5 3QF
5708,SL9 8QA
5715,MK3 7EG
5716,MK14 6DP
5718,MK5 8HD
5724,HP20 1DP
5729,HP21 9ET
5752,CB23 3XQ
5766,CB6 1JT
5792,PE2 8PU
5793,PE2 9ER
5794,PE26 2QA
5795,PE27 5RG
5798,PE19 1TF
5801,PE27 5QT
5811,PE19 6NG
5812,PE4 7DZ
5813,PE2 5QL
5814,PE3 9QW
5816,PE2 5PL
5819,CB23 7RE
5832,CB2 9FS
5836,CB4 2HU
5889,PE28 2LT
5891,PE1 3PW
5892,PE2 9DH
5893,PE1 5JW
5894,PE3 9XD
5896,PE4 6JT
5897,PE28 3NY
5898,PE2 6GF
5900,PE1 5JN
5904,CB2 8AG
5911,CB2 1HF
5918,CB2 1EL
5921,PE3 8RL
